시군명,농장명,축종명,상세구분,사육두수(마리),소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자,비고
과천시,농장7,닭,산란계,60,13826,경기도 과천시 사기막1길 4,경기도 과천시 문원동 324-3,37.4196150000,126.9987329000,20181130,
과천시,농장8,닭,산란계,4,13826,,경기도 과천시 문원동 371,37.4181389000,126.9988159000,20181130,
과천시,농장9,닭,산란계,17,13816,경기도 과천시 경마공원대로 90-17,경기도 과천시 과천동 210-11,37.4434473000,127.0053701000,20181130,
광명시,원광농장,,육계,100,,,경기도 광명시 광명동 537번지,37.4614030000,126.8431030000,,
광주시,경안농장,육계,,33000,12764,경기도 광주시 역동로 52-133,경기도 광주시 역동 84,37.4034192000,127.2491194000,20190510,
광주시,광주농장,산란계,,65000,12729,경기도 광주시 초월읍 산수로554번길 11,경기도 광주시 초월읍 신월리 409-1,37.4118348000,127.3070816000,20190510,
광주시,길샘축산,산란계,,90000,12731,경기도 광주시 초월읍 동막골길256번길 8,경기도 광주시 초월읍 학동리 88,37.3888951000,127.3403568000,20190510,
광주시,대승농장,산란계,,45000,12735,경기도 광주시 초월읍 무들로8번길 28-9,경기도 광주시 초월읍 대쌍령리 53,37.3838925000,127.2935885000,20190510,
광주시,영생농장 3단지,산란계,,40000,12720,경기도 광주시 곤지암읍 광여로862번길 86,경기도 광주시 곤지암읍 건업리 405,37.3840101000,127.4095732000,20190510,
광주시,영일농장,산란계,,190000,12726,경기도 광주시 곤지암읍 만삼로 9-51,경기도 광주시 곤지암읍 유사리 355-4,37.3733699000,127.4067385000,20190510,
광주시,칠성농장,산란계,,30000,12769,경기도 광주시 직동로 49,경기도 광주시 직동 56-3,37.4000288000,127.1973491000,20190510,
광주시,햇살체험농장,육계,,100,12807,,경기도 광주시 초월읍 산이리 65-39,37.4030040000,127.2993625000,20190510,
김포시,OK농장,닭,산란계,60000,10050,경기도 김포시 대곶면 천호로116번길 17,경기도 김포시 대곶면 대벽리 1020번지,37.6172325000,126.5661218000,20181204,
김포시,가우농장,닭,산란계,16000,10030,경기도 김포시 통진읍 가현로149번길 151-13,경기도 김포시 통진읍 가현리 산50-3번지,37.6775432000,126.5853789000,20181204,
김포시,가현농장,닭,산란계,40000,10030,경기도 김포시 통진읍 가현로 129,경기도 김포시 통진읍 가현리 605번지,37.6748704000,126.5879008000,20181204,
김포시,갈산농장,닭,육계,260,10025,경기도 김포시 월곶면 군하로 134-34,경기도 김포시 월곶면 갈산리 440-1번지,37.7059402000,126.5613540000,20181204,
김포시,공주양계장,닭,육계,12000,10045,,경기도 김포시 양촌읍 유현리 441번지,37.6342302000,126.6156110000,20181204,
김포시,규은농장,닭,산란계,14,10124,경기도 김포시 고촌읍 신기신동로 23-10,경기도 김포시 고촌읍 신곡리 439-43번지,37.6087145000,126.7729897000,20181204,
김포시,규환농장,닭,육계,250,10006,경기도 김포시 하성면 하성로1091번길 37-14,경기도 김포시 하성면 시암리 491번지,37.7644981000,126.6367157000,20181204,
김포시,금산농장,닭,산란계,45000,10052,경기도 김포시 양촌읍 금포로1491번길 369-11,경기도 김포시 양촌읍 누산리 1036-111번지,37.6747180000,126.6598510000,20181204,
김포시,금화농장,닭,산란계,227880,10025,경기도 김포시 월곶면 고양로 183-85,경기도 김포시 월곶면 고양리 630번지,37.6891258000,126.5391846000,20181204,
김포시,기원농장,닭,육계,24000,10029,경기도 김포시 통진읍 절골로25번길 98,경기도 김포시 통진읍 옹정리 294-3번지,37.6846195000,126.5766852000,20181204,
김포시,기철농장,닭,육계,19000,,,경기도 김포시 양촌읍 양곡리 821번지,37.6556969000,126.6330393000,20181204,
김포시,김포 자연 농장,닭,산란계,30000,10014,경기도 김포시 통진읍 하성로 105-106,경기도 김포시 통진읍 수참리 114-1번지,37.6854554000,126.6259295000,20181204,
김포시,김포메추리농장,메추리,산란계,260000,10038,,경기도 김포시 통진읍 가현리 347번지 4호,37.6692350000,126.5867947000,20181204,
김포시,김포표고버섯농장,닭,산란계,100,10009,,경기도 김포시 통진읍 고정리 352번지,37.7200385000,126.5902885000,20181204,
김포시,깻잎농원,닭,육계,100,10123,경기도 김포시 고촌읍 금포로491번길 35-20,경기도 김포시 고촌읍 풍곡리 75-34번지,37.6176223000,126.7674858000,20181204,
김포시,나눔꿈터,닭,산란계,400,10026,경기도 김포시 대곶면 쇄암로 182,경기도 김포시 대곶면 쇄암리 592번지,37.6836426000,126.5380336000,20181204,
김포시,농업회사법인 (주)봉골농장,닭,산란계,83000,10024,,"경기도 김포시 월곶면 군하리 323번지 2호 ,323-70번지",37.7075211000,126.5535892000,20181204,
김포시,농업회사법인 (주)제일영농,닭,육계,1000,10012,,경기도 김포시 하성면 석탄리 734번지 7호,37.7205096000,126.6521989000,20181204,
김포시,농업회사법인 주안 주식회사,닭,산란계,140000,10033,경기도 김포시 통진읍 율마로276번길 45-2,경기도 김포시 통진읍 가현리 798번지,37.6758562000,126.6010770000,20181204,
김포시,담안에 농원,닭,산란계,300,10006,경기도 김포시 하성면 하성로 1197-10,경기도 김포시 하성면 시암리 140-1번지,37.7667599000,126.6453454000,20181204,
김포시,대곶농장,닭,육계,300,10040,,경기도 김포시 대곶면 율생리 570번지,37.6509045000,126.5766937000,20181204,
김포시,대명농장,닭,육계,20000,10040,경기도 김포시 대곶면 대곶로20번길 207,경기도 김포시 대곶면 대명리 57번지,37.6534223000,126.5591940000,20181204,
