시군명,농장명,상세구분,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,사육두수(마리)
김포시,청계농장,산란계,10124,,경기도 김포시 고촌읍 신곡리 439번지 18호,126.7721302000,37.6087501000,20
김포시,청솔산업,육계,10010,경기도 김포시 통진읍 서암로 281-22,경기도 김포시 통진읍 귀전리 1008번지,126.6101708000,37.7072841000,100
김포시,초롱농장,산란계,10027,,경기도 김포시 대곶면 송마리 178번지,126.5701252000,37.6630150000,3000
김포시,코코스가든,산란계,10127,경기도 김포시 고촌읍 이화북로 212-27,경기도 김포시 고촌읍 태리 190번지,126.7457747000,37.6059656000,1200
김포시,태경농장,산란계,10024,경기도 김포시 월곶면 김포대로2659번길 71-88,경기도 김포시 월곶면 군하리 323번지 30호,126.5523118000,37.7056717000,40000
김포시,태원농장,육계,10055,경기도 김포시 양촌읍 김포한강4로278번길 179,경기도 김포시 양촌읍 석모리 131번지 2호,126.6537771000,37.6581838000,35000
김포시,포내농장,산란계,10020,,경기도 김포시 월곶면 포내리 14번지 5호,126.5307303000,37.7291742000,20000
김포시,포내농장,산란계,10020,경기도 김포시 월곶면 김포대로2970번길 117-36,경기도 김포시 월곶면 포내리 106번지 10호,126.5424291000,37.7285898000,63000
김포시,푸른농장,산란계,,,경기도 김포시 통진읍 가현리,126.5843893000,37.6820137000,12000
김포시,풍진농장,산란계,10042,,경기도 김포시 대곶면 약암리 808번지,126.5603174000,37.6217415000,15000
김포시,하나농장,육계,10041,,경기도 김포시 대곶면 대명리 208번지,126.5477331000,37.6532904000,38000
김포시,하늘농장,산란계,10008,경기도 김포시 하성면 가금로 372-119,경기도 김포시 하성면 양택리 104번지,126.6173064000,37.7352282000,2500
김포시,하림농장,산란계,10050,경기도 김포시 대곶면 약암로 598-50,경기도 김포시 대곶면 대벽리 1164번지,126.5587876000,37.6123296000,40
김포시,하성농장,산란계,10013,경기도 김포시 하성면 하성로196번길 83,경기도 김포시 하성면 봉성리 65번지 3호,126.6377227000,37.6920654000,15000
김포시,학운농장,육계,10047,,경기도 김포시 양촌읍 학운리 399번지,126.6030093000,37.6259933000,25000
김포시,한우리농장,산란계,10033,경기도 김포시 통진읍 율마로276번길 45-1,경기도 김포시 통진읍 가현리 798번지 1호,126.6010657000,37.6755667000,140000
김포시,한우리농장,산란계,10050,경기도 김포시 대곶면 천호로116번길 133,경기도 김포시 대곶면 대벽리 1102번지,126.5688730000,37.6133222000,1500
김포시,향산리농장,산란계,10094,경기도 김포시 고촌읍 금파로319번길 81,경기도 김포시 고촌읍 향산리 810번지,126.7357949000,37.6256928000,520
김포시,호은농장,육계,10005,경기도 김포시 하성면 하성로 873-95,경기도 김포시 하성면 마조리 325번지,126.6283856000,37.7495890000,35000
김포시,효운농장,육계,10045,,경기도 김포시 양촌읍 유현리 444번지 1호,126.6153904000,37.6347379000,35000
김포시,희망농장,육계,,,경기도 김포시 마산동 422번지,126.6454481000,37.6344364000,20000
남양주시,가족농장,육계,12201,,경기도 남양주시 와부읍 율석리 832번지 4호,127.2095866000,37.6033708000,
남양주시,거북농장,육계,,,경기도 남양주시 삼패동 산 12번지,127.1915412000,37.6146091000,
남양주시,경인농장,산란계,,,경기도 남양주시 평내동 산 2번지 19호,127.2359001000,37.6491272000,
남양주시,경춘목장,산란계,12278,경기도 남양주시 조안면 재재기로 583,"경기도 남양주시 조안면 삼봉리 680번지 ,690",127.3249052000,37.5907601000,
