축산업 사업장 명칭,주사육업종,사업장소재지
우영농장,육우,전라남도 장흥군 장흥읍 금산리 183번지 1호  
남강,젖소,전라남도 장흥군 용산면 풍길리 534번지 8호  
샛별,젖소,전라남도 장흥군 용산면 상금리 521번지  
길목장,젖소,"전라남도 장흥군 장흥읍 성불리 166번지 3호 , 166-10, 167, 167-1, 166-21, 166-6, 166-2, 166-4, 460번지 "
배산목장,젖소,전라남도 장흥군 장동면 배산리 산 41번지  
까르마농산,종계/산란계,전라남도 장흥군 장평면 축내리 694번지 3호  
영법돌나라한농복구회장흥지부,종계/산란계,전라남도 장흥군 유치면 운월리 241번지  
신풍부화장,종계/산란계,전라남도 장흥군 유치면 조양리 1120번지 5호  
,종계/산란계,전라남도 장흥군 장평면 병동리 635번지  
장흥팜스농장,종계/산란계,"전라남도 장흥군 장평면 축내리 696번지 1호 , 694, 697-3, 694-2, 694-3 "
인암농원,종계/산란계,전라남도 장흥군 유치면 조양리 859번지 2호  
행복을 farm,종계/산란계,전라남도 장흥군 장평면 축내리 718번지  
,한우,전라남도 장흥군 용산면 운주리 579번지 6호  
우수농장,한우,전라남도 장흥군 관산읍 죽청리 26-5번지(가동) 
우수농장,한우,전라남도 장흥군 관산읍 죽청리 26-5번지(나동) 
,한우,전라남도 장흥군 관산읍 외동리 218번지  
,한우,전라남도 장흥군 대덕읍 연지리 998번지  
,한우,전라남도 장흥군 장흥읍 향양리 87번지 1호  
정화,한우,전라남도 장흥군 장흥읍 금산리 7번지  
,한우,전라남도 장흥군 장동면 하산리 645번지  
영심농장,한우,"전라남도 장흥군 장평면 기동리 415번지 9호 , -7, -10, -11, -12, -14, -15, -17, 402-1, 888-9, 888-20번지 "
성한농장,한우,전라남도 장흥군 부산면 기동리 410번지 60호  
행원,한우,전라남도 장흥군 장흥읍 행원리 877번지  
에덴,한우,전라남도 장흥군 용산면 상금리 2934번지  
방촌축산,한우,전라남도 장흥군 관산읍 방촌리 86번지 20호  
풍산농장,한우,전라남도 장흥군 관산읍 용전리 398번지 1호  
민수농장,한우,전라남도 장흥군 관산읍 신동리 613번지 1호  
,한우,전라남도 장흥군 관산읍 외동리 752번지 294호  
세진농장,한우,전라남도 장흥군 관산읍 삼산리 427번지 4호  
우암축산,한우,전라남도 장흥군 관산읍 삼산리 518번지  
,한우,전라남도 장흥군 관산읍 송촌리 408번지 1호  
관덕축산,한우,전라남도 장흥군 관산읍 삼산리 484번지 8호  
금식농장,한우,"전라남도 장흥군 관산읍 삼산리 406번지 6호 , -2, -5, -9, -10번지 "
,한우,전라남도 장흥군 관산읍 삼산리 455번지  
,한우,전라남도 장흥군 관산읍 농안리 630번지  
다산농장,한우,전라남도 장흥군 관산읍 방촌리 17번지 1호 가동 
,한우,전라남도 장흥군 관산읍 삼산리 593번지  
내동축산,한우,전라남도 장흥군 관산읍 삼산리 443번지 1호  
,한우,전라남도 장흥군 관산읍 삼산리 333번지  
,한우,전라남도 장흥군 관산읍 삼산리 594번지  
장흥농장,한우,전라남도 장흥군 관산읍 삼산리 504번지 10호  
,한우,전라남도 장흥군 관산읍 삼산리 592번지  
,한우,전라남도 장흥군 관산읍 삼산리 504번지 3호  
,한우,전라남도 장흥군 관산읍 삼산리 356번지 1호  
재동농장,한우,"전라남도 장흥군 관산읍 삼산리 388번지 , 387-1동 "
,한우,전라남도 장흥군 관산읍 삼산리 408번지  
현동축사,한우,전라남도 장흥군 관산읍 외동리 62번지 6호  
,한우,전라남도 장흥군 관산읍 외동리 62번지 6호  
,한우,전라남도 장흥군 관산읍 삼산리 509번지 3호  
,한우,전라남도 장흥군 관산읍 삼산리 312번지 2호  
윤미농장,한우,전라남도 장흥군 관산읍 남송리 377번지 1호  
영일축산,한우,전라남도 장흥군 관산읍 외동리 310번지 9호  
,한우,전라남도 장흥군 관산읍 삼산리 590번지  
기영축산,한우,전라남도 장흥군 관산읍 삼산리 513번지 3   호  
진등축산,한우,전라남도 장흥군 관산읍 삼산리 408번지 1호  
,한우,전라남도 장흥군 관산읍 삼산리 533번지 15호  
,한우,전라남도 장흥군 관산읍 삼산리 1번지 7호  
양지축산,한우,전라남도 장흥군 관산읍 삼산리 408번지 68호  
성우농장,한우,"전라남도 장흥군 관산읍 삼산리 598번지 , 595, 596-2, 602-2번지 "
광림축산,한우,전라남도 장흥군 관산읍 하발리 542번지 5호  
,한우,전라남도 장흥군 장평면 축내리 260번지 9호  
탑동,한우,전라남도 장흥군 장평면 용강리 176번지  
,한우,전라남도 장흥군 장평면 내동리 120번지  
,한우,"전라남도 장흥군 장평면 내동리 589, 588번지  "
삼산축산,한우,전라남도 장흥군 관산읍 삼산리 1669번지  
진성농장,한우,전라남도 장흥군 대덕읍 가학리 1178번지 3호  
두지농장,한우,전라남도 장흥군 대덕읍 잠두리 684번지 1호  
,한우,전라남도 장흥군 장흥읍 평장리 744번지 1호  
탐진축산,한우,전라남도 장흥군 안양면 기산리 558번지 1호  
우농축산,한우,전라남도 장흥군 장평면 임리 129번지 1호 외 4필지 
,한우,전라남도 장흥군 장평면 임리 26번지  
,한우,전라남도 장흥군 유치면 반월리 150번지 3호  
율산농장,한우,전라남도 장흥군 안양면 사촌리 522번지 1호  
명수농장,한우,전라남도 장흥군 장동면 북교리 689번지 1호  
삼산축산,한우,전라남도 장흥군 장흥읍 금산리 229번지  
탐진한우,한우,전라남도 장흥군 장흥읍 영전리 681번지 1호  
신흥축산,한우,전라남도 장흥군 장흥읍 행원리 1020번지  
대창농장,한우,"전라남도 장흥군 장흥읍 축내리 40, 37, 39, 35-3, 312-2, 37-1, 40-1번지 "
오성축산,한우,전라남도 장흥군 대덕읍 신리 1062번지  
황추산농장,한우,전라남도 장흥군 장동면 봉동리 71번지  
선진농장,한우,전라남도 장흥군 유치면 신월리 323번지 1호  
장흥 축협 생축 사업장,한우,전라남도 장흥군 안양면 당암리 산 10번지 1호  
,한우,전라남도 장흥군 유치면 관동리 397번지  
,한우,전라남도 장흥군 유치면 관동리 547번지  
,한우,전라남도 장흥군 유치면 신풍리 287번지 2호  
믿을축산,한우,"전라남도 장흥군 부산면 구룡리 658, 656-4, 724번지 "
윤**,한우,"전라남도 장흥군 회진면 신상리 154, 156-1, 156-2, 157번지 "
튼튼목장,한우,전라남도 장흥군 회진면 회진리 1337번지  
벧엘농장,한우,전라남도 장흥군 회진면 진목리 906번지  
황소축산,한우,전라남도 장흥군 회진면 덕산리 2118번지 1호 외 1필지 
,한우,전라남도 장흥군 회진면 신상리 610번지  
효림축산,한우,전라남도 장흥군 회진면 회진리 1248번지  
,한우,전라남도 장흥군 회진면 회진리 산 85번지 1호  
,한우,전라남도 장흥군 회진면 회진리 281번지  
원태농장,한우,"전라남도 장흥군 회진면 덕산리 687, 688, 689, 690번지 "
사금농장,한우,전라남도 장흥군 회진면 진목리 224번지 1호  
경원농장,한우,"전라남도 장흥군 회진면 진목리 254번지 1호 , 255-1, 256, 256-1, 1153-2 "
,한우,전라남도 장흥군 회진면 대리 524번지  
,한우,전라남도 장흥군 회진면 대리 687번지  
대리축산,한우,전라남도 장흥군 회진면 대리 437번지  
,한우,전라남도 장흥군 장흥읍 사안리 193번지  
,한우,전라남도 장흥군 장흥읍 향양리 804번지 7호  
산아래농장,한우,전라남도 장흥군 부산면 구룡리 454번지 31호  
사자산 농장,한우,"전라남도 장흥군 장흥읍 삼산리 산92-36, 산92-6번지 "
,한우,전라남도 장흥군 장흥읍 덕제리 472번지  
