축산업 사업장 명칭,주사육업종,사업장소재지
,한우,전라남도 장흥군 대덕읍 도청리 262번지 1호  
,한우,"전라남도 장흥군 대덕읍 신월리 235번지 , 239-1, 235-2, 237번지 "
,한우,전라남도 장흥군 대덕읍 도청리 393번지  
,한우,전라남도 장흥군 대덕읍 신리 513번지 1호  
,한우,전라남도 장흥군 대덕읍 도청리 200번지 3호  
송정축산,한우,전라남도 장흥군 대덕읍 신리 267번지 외 4필지 
,한우,전라남도 장흥군 장흥읍 행원리 77번지 1호  
,한우,전라남도 장흥군 관산읍 죽청리 273번지 1호  
,한우,전라남도 장흥군 회진면 진목리 247번지  
,한우,전라남도 장흥군 대덕읍 신리 1023번지 1호  
,한우,"전라남도 장흥군 안양면 당암리 493번지 5호 ,130-3 "
최**농장,한우,"전라남도 장흥군 장동면 하산리 438, 439번지 "
,한우,전라남도 장흥군 장동면 반산리 641번지 40호  
승옥농장,한우,전라남도 장흥군 장흥읍 향양리 805번지 7호  
,한우,전라남도 장흥군 관산읍 용전리 248번지 1호  
,한우,전라남도 장흥군 관산읍 용전리 554번지  
,한우,전라남도 장흥군 용산면 금곡리 259번지  
,한우,전라남도 장흥군 장동면 조양리 351번지  
,한우,전라남도 장흥군 관산읍 외동리 310번지 1호  
,한우,전라남도 장흥군 용산면 어산리 84번지 3호  
,한우,전라남도 장흥군 용산면 접정리 272번지  
,한우,전라남도 장흥군 대덕읍 연정리 712번지 12호  
,한우,전라남도 장흥군 대덕읍 도청리 43번지 8호  
,한우,전라남도 장흥군 안양면 기산리 193번지  
,한우,전라남도 장흥군 대덕읍 신월리 449번지 1호  
,한우,전라남도 장흥군 용산면 금곡리 15번지 1호  
만년축산,한우,전라남도 장흥군 장동면 만년리 107번지 1호  
,한우,전라남도 장흥군 관산읍 외동리 634번지 5호  
신**농장,한우,전라남도 장흥군 장동면 북교리 693번지  
,한우,전라남도 장흥군 대덕읍 신리 826번지 1호  
,한우,전라남도 장흥군 장흥읍 영전리 456번지  
,한우,전라남도 장흥군 장동면 용곡리 816번지  
,한우,전라남도 장흥군 장동면 만년리 287번지 1호  
,한우,전라남도 장흥군 대덕읍 연정리 417번지  
,한우,전라남도 장흥군 장동면 봉동리 170번지 1호  
,한우,전라남도 장흥군 대덕읍 연지리 12번지 1호  
,한우,전라남도 장흥군 관산읍 외동리 195번지  
은우축산,한우,전라남도 장흥군 용산면 인암리 723번지 8호  
,한우,전라남도 장흥군 장흥읍 영전리 332번지  
,한우,전라남도 장흥군 관산읍 신동리 100번지 1호  
변잠계,한우,전라남도 장흥군 용산면 관지리 435번지 1호  
,한우,전라남도 장흥군 대덕읍 연정리 559번지  
,한우,전라남도 장흥군 대덕읍 연정리 1339번지 4호  
,한우,전라남도 장흥군 대덕읍 신월리 165번지  
구일농장,한우,전라남도 장흥군 회진면 덕산리 1754번지 3호  
한일농장,한우,전라남도 장흥군 용산면 상금리 510번지  
백자길축산,한우,전라남도 장흥군 용산면 월송리 728번지 14호  
용암농장,한우,전라남도 장흥군 용산면 접정리 611번지  
,한우,전라남도 장흥군 장흥읍 행원리 568번지 3호  
,한우,전라남도 장흥군 대덕읍 도청리 703번지 4호  
,한우,전라남도 장흥군 대덕읍 잠두리 601번지 1호  
가포축산,한우,전라남도 장흥군 대덕읍 도청리 752번지  
신상농장,한우,전라남도 장흥군 회진면 신상리 1137번지 5호  
,한우,전라남도 장흥군 대덕읍 신월리 663번지  
,한우,전라남도 장흥군 장평면 두봉리 802번지 외 2필지 
요정농장,한우,전라남도 장흥군 대덕읍 연지리 813번지 26호  
,한우,전라남도 장흥군 대덕읍 신월리 360번지  
배산목장,한우,전라남도 장흥군 장동면 배산리 산 42번지 3호  
,한우,전라남도 장흥군 장흥읍 연산리 252번지 1호  
,한우,전라남도 장흥군 용산면 모산리 566번지  
,한우,전라남도 장흥군 용산면 인암리 14번지  
,한우,전라남도 장흥군 관산읍 하발리 543번지 8호  
,한우,"전라남도 장흥군 대덕읍 연지리 220번지 , 233-2 "
조**축사,한우,전라남도 장흥군 안양면 운흥리 57번지  
학농장,한우,전라남도 장흥군 안양면 운흥리 561번지  
,한우,전라남도 장흥군 회진면 회진리 1217번지 1호  
영일농장,한우,전라남도 장흥군 회진면 신상리 1138번지 6호  
,한우,전라남도 장흥군 용산면 월송리 713번지 8호  
,한우,전라남도 장흥군 회진면 덕산리 623번지  
,한우,전라남도 장흥군 대덕읍 신월리 2번지 13호  
,한우,전라남도 장흥군 부산면 유량리 65번지  
,한우,전라남도 장흥군 안양면 지천리 235번지 1호  
양하축산,한우,전라남도 장흥군 대덕읍 잠두리 544번지  
덕동농장,한우,전라남도 장흥군 안양면 해창리 804번지 1호 외1필지 
,한우,전라남도 장흥군 장평면 축내리 374번지 8호  
,한우,전라남도 장흥군 장평면 녹양리 348번지  
,한우,전라남도 장흥군 장평면 녹양리 434번지 1호 외1필지 
,한우,전라남도 장흥군 장평면 내동리 266번지  
,한우,전라남도 장흥군 장평면 내동리 293번지  
,한우,전라남도 장흥군 장평면 녹양리 259번지  
,한우,전라남도 장흥군 관산읍 외동리 458번지 4호  
,한우,전라남도 장흥군 대덕읍 잠두리 324번지 4호  
르오보농장,한우,전라남도 장흥군 안양면 수락리 42번지 10호  
,한우,전라남도 장흥군 관산읍 용전리 274번지 1호  
,한우,"전라남도 장흥군 대덕읍 도청리 705-1, 705-4번지 "
,한우,전라남도 장흥군 대덕읍 도청리 34번지 2호  
,한우,전라남도 장흥군 대덕읍 신월리 75번지 3호  
칡매축산,한우,전라남도 장흥군 용산면 인암리 346번지 43호  
,한우,전라남도 장흥군 용산면 모산리 80번지 2호  
,한우,전라남도 장흥군 장평면 용강리 79번지  
,한우,전라남도 장흥군 회진면 회진리 488번지 1호  
,한우,전라남도 장흥군 회진면 회진리 622번지 6호  
,한우,"전라남도 장흥군 회진면 덕산리 660번지 2호 , 3, 4 "
,한우,전라남도 장흥군 대덕읍 옹암리 14번지 2호  
,한우,전라남도 장흥군 대덕읍 도청리 258번지 5호  
연자농장,한우,전라남도 장흥군 장흥읍 영전리 516번지 3호  
,한우,전라남도 장흥군 대덕읍 연정리 1201번지  
,한우,전라남도 장흥군 대덕읍 잠두리 724번지 4호  
만수축사,한우,"전라남도 장흥군 관산읍 고마리 944-1, 947-1, 947, 944-3, 944, 947-2, 944-2번지 "
,한우,전라남도 장흥군 회진면 회진리 602번지  
,한우,전라남도 장흥군 회진면 진목리 966번지  
,한우,전라남도 장흥군 안양면 당암리 646번지  
수환농장,한우,전라남도 장흥군 안양면 운흥리 565번지  
,한우,전라남도 장흥군 관산읍 용전리 275번지  
,한우,전라남도 장흥군 장평면 등촌리 465번지 1호  
김**농장,한우,전라남도 장흥군 장흥읍 향양리 264번지 4호 외1 
신촌농장,한우,전라남도 장흥군 안양면 신촌리 471번지 11호  
순하 축산,한우,전라남도 장흥군 용산면 계산리 628번지 외1필지 
,한우,전라남도 장흥군 회진면 회진리 1866번지 1호  
정남진 축산,한우,전라남도 장흥군 관산읍 신동리 114번지 8호  
빈이네농장,한우,"전라남도 장흥군 관산읍 외동리 470번지 7호 , 470-8번지 "
홍거농장,한우,전라남도 장흥군 안양면 모령리 499번지  
덕산,한우,전라남도 장흥군 안양면 사촌리 396번지 6호  
복수농장,한우,전라남도 장흥군 안양면 해창리 563번지  
홍거농장,한우,전라남도 장흥군 안양면 모령리 499번지  
,한우,전라남도 장흥군 관산읍 외동리 9번지 17호  
김**,한우,전라남도 장흥군 회진면 대리 145번지 1호  
,한우,전라남도 장흥군 관산읍 삼산리 1333번지 1호  
시온농장,한우,전라남도 장흥군 대덕읍 연정리 722번지 7호  
형제농축산,한우,전라남도 장흥군 관산읍 외동리 189번지  
,한우,전라남도 장흥군 관산읍 송촌리 21번지 9호  
초우농장2,한우,"전라남도 장흥군 회진면 회진리 1460번지 , 1466 "
학산농장,한우,전라남도 장흥군 회진면 회진리 184번지  
성민축산,한우,전라남도 장흥군 용산면 계산리 416번지 17호  
,한우,전라남도 장흥군 관산읍 신동리 205번지 3호  
,한우,전라남도 장흥군 관산읍 방촌리 634번지  
그린농장,한우,전라남도 장흥군 장흥읍 순지리 17번지  
성현농장,한우,전라남도 장흥군 유치면 조양리 1130번지 8호  
,한우,전라남도 장흥군 부산면 부춘리 541번지 20호  
유수농장,한우,전라남도 장흥군 대덕읍 신리 1011번지  
,한우,전라남도 장흥군 용산면 관지리 440번지 1호  
김**,한우,전라남도 장흥군 회진면 신상리 87번지  
,한우,전라남도 장흥군 회진면 회진리 1245번지 3호  
,한우,전라남도 장흥군 관산읍 하발리 516번지 3호  
,한우,전라남도 장흥군 관산읍 송촌리 406번지 1호  
광주농장,한우,전라남도 장흥군 대덕읍 신월리 646번지  
,한우,전라남도 장흥군 용산면 관지리 26번지 3호  
태산축산,한우,전라남도 장흥군 대덕읍 도청리 27번지 8호  
진양축산,한우,전라남도 장흥군 관산읍 방촌리 86번지 5호  
언양농축산,한우,전라남도 장흥군 용산면 관지리 1번지 1호  
,한우,전라남도 장흥군 용산면 어산리 231번지 3호  
,한우,전라남도 장흥군 유치면 봉덕리 140번지  
우상농장,한우,전라남도 장흥군 부산면 금자리 1075번지 57호  
,한우,전라남도 장흥군 안양면 당암리 496번지  
벼리농장,한우,"전라남도 장흥군 장흥읍 덕제리 349번지 2호 , 350-6번지 "
세반이,한우,전라남도 장흥군 장평면 축내리 208번지  
,한우,전라남도 장흥군 안양면 신촌리 478번지 12호  
,한우,전라남도 장흥군 안양면 모령리 485번지 1호  
,한우,전라남도 장흥군 장흥읍 행원리 1009번지 4호  
다산축산,한우,전라남도 장흥군 관산읍 방촌리 17번지 1호 나동 
,한우,전라남도 장흥군 장흥읍 축내리 15번지 3호  
,한우,전라남도 장흥군 대덕읍 잠두리 174번지 1호  
,한우,전라남도 장흥군 회진면 회진리 176번지 1호  
죽교농장,한우,전라남도 장흥군 관산읍 죽교리 4번지  
장터농장,한우,전라남도 장흥군 안양면 수문리 178번지  
,한우,전라남도 장흥군 안양면 수양리 324번지  나동 
주원농장,한우,전라남도 장흥군 대덕읍 연정리 565번지 1호  
동산농원,한우,전라남도 장흥군 장평면 청용리 21번지  
PF농장,한우,전라남도 장흥군 장동면 조양리 406번지 2호  
,한우,전라남도 장흥군 관산읍 농안리 279번지 외3필지 
,한우,전라남도 장흥군 대덕읍 가학리 742번지 1호  
,한우,전라남도 장흥군 관산읍 송촌리 384번지 2호  
이신축산,한우,전라남도 장흥군 대덕읍 신리 86번지  
,한우,전라남도 장흥군 안양면 지천리 186번지 1호  
,한우,전라남도 장흥군 관산읍 죽청리 69번지  
탐진한우,한우,전라남도 장흥군 장흥읍 영전리 679번지 3호  
택현농장,한우,전라남도 장흥군 용산면 금곡리 494번지 6호  
프로농장,한우,전라남도 장흥군 대덕읍 신월리 612번지 26호 외2필지 
성식농장,한우,전라남도 장흥군 안양면 학송리 139번지 9호  
,한우,"전라남도 장흥군 회진면 회진리 1076번지 2호 , 1262-1 "
일호축사,한우,전라남도 장흥군 대덕읍 가학리 1163번지 9호  
효민농장,한우,전라남도 장흥군 장흥읍 금산리 260번지 3호  
,한우,전라남도 장흥군 관산읍 삼산리 514번지 외1필지 
희망농장,한우,전라남도 장흥군 장흥읍 사안리 157번지  
,한우,전라남도 장흥군 관산읍 삼산리 343번지 1호  
,한우,전라남도 장흥군 부산면 구룡리 454번지 1호 외 1필지 
영덕농장,한우,"전라남도 장흥군 관산읍 삼산리 315번지 1호 , 317번지 "
병선농장,한우,"전라남도 장흥군 관산읍 삼산리 509번지 2호 , 509-3, 509-4번지 "
,한우,전라남도 장흥군 관산읍 외동리 59번지 1호  
연지농장,한우,전라남도 장흥군 대덕읍 연지리 560번지 6호  
,한우,전라남도 장흥군 관산읍 삼산리 331번지 5호  
문**농장,한우,전라남도 장흥군 장평면 양촌리 282번지 5호  
,한우,전라남도 장흥군 관산읍 삼산리  
김**의 축사,한우,전라남도 장흥군 장평면 등촌리 184번지  
서암농장,한우,전라남도 장흥군 관산읍 죽교리 124번지  
이**의 농장,한우,전라남도 장흥군 관산읍 삼산리 434번지  
,한우,전라남도 장흥군 안양면 당암리 609번지 외 1필지 
이**의 축사,한우,전라남도 장흥군 관산읍 삼산리 381번지 2호  
임** 농장,한우,전라남도 장흥군 장평면 양촌리 428번지 48호  
현종농장,한우,전라남도 장흥군 안양면 신촌리 473번지 4호  
,한우,전라남도 장흥군 대덕읍 도청리 639번지 1호  
용전축산,한우,"전라남도 장흥군 관산읍 용전리 293번지 , 293-1 "
기찬농장,한우,전라남도 장흥군 안양면 해창리 361번지  
심**농장,한우,전라남도 장흥군 장평면 병동리 304번지 1호  
용산한우,한우,전라남도 장흥군 장평면 축내리 669번지  
,한우,전라남도 장흥군 대덕읍 연정리 1334번지 5호  
,한우,전라남도 장흥군 용산면 상금리 237번지 1호  
삼진농장,한우,전라남도 장흥군 관산읍 삼산리 241번지 12호  
,한우,전라남도 장흥군 대덕읍 신월리 604번지  
태완농장,한우,전라남도 장흥군 관산읍 삼산리 240번지 6호  
은혜축산,한우,전라남도 장흥군 용산면 접정리 296번지 4호  
초당축산,한우,전라남도 장흥군 대덕읍 도청리 544번지  
,한우,전라남도 장흥군 장평면 임리 244번지  
,한우,전라남도 장흥군 장평면 임리 403번지  
,한우,전라남도 장흥군 장평면 임리 455번지  
,한우,전라남도 장흥군 대덕읍 신월리 436번지  
아영농장,한우,전라남도 장흥군 대덕읍 신리 1067번지  
,한우,전라남도 장흥군 장흥읍 원도리 2번지  
한우번식우농장,한우,전라남도 장흥군 관산읍 방촌리 86번지 20호  
,한우,전라남도 장흥군 관산읍 삼산리 1336번지 2호  
,한우,전라남도 장흥군 관산읍 용전리 395번지  
천관한우,한우,전라남도 장흥군 장흥읍 덕제리 689번지 6호  
최**농장,한우,"전라남도 장흥군 장흥읍 금산리 100-3, 101-1, 100-1번지 "
영일농장,한우,전라남도 장흥군 회진면 신상리 1139번지 5호  
미래축사,한우,전라남도 장흥군 장흥읍 삼산리 266번지 2호  
정남진농장,한우,전라남도 장흥군 관산읍 삼산리 1334번지 1호  
,한우,전라남도 장흥군 장흥읍 평화리 155번지 19호  
서영2농장,한우,"전라남도 장흥군 관산읍 송촌리 396번지 1호 , 396-2 "
양**,한우,전라남도 장흥군 장흥읍 금산리 183번지 2호 외 1필지 
어울림 한우,한우,전라남도 장흥군 관산읍 농안리 279번지 외 3필지 
,한우,전라남도 장흥군 대덕읍 연지리 197번지 4호 외 1필지 
,한우,전라남도 장흥군 대덕읍 신월리 501번지  
가포축산,한우,전라남도 장흥군 대덕읍 도청리 43번지 3호 외 1필지(752) 
,한우,전라남도 장흥군 장흥읍 우산리 163번지  
,한우,전라남도 장흥군 안양면 수문리 427번지 1호  
완수농장,한우,전라남도 장흥군 장흥읍 행원리 957번지  
,한우,전라남도 장흥군 용산면 접정리 307번지 4호 외 2필지 
,한우,전라남도 장흥군 관산읍 고마리 96번지 외 1필지 
나비축산,한우,전라남도 장흥군 장흥읍 금산리 230번지 7호  
,한우,전라남도 장흥군 부산면 내안리 429번지 1호  
,한우,전라남도 장흥군 용산면 덕암리 228번지 1호  
,한우,"전라남도 장흥군 관산읍 삼산리 1336번지 1호 , 1334-2 "
,한우,전라남도 장흥군 관산읍 외동리 24번지 4호  
현대농장,한우,전라남도 장흥군 부산면 부춘리 395번지 1호  
,한우,전라남도 장흥군 관산읍 삼산리 509번지 3호  
,한우,전라남도 장흥군 유치면 봉덕리 150번지 1호  
산아래농장,한우,전라남도 장흥군 부산면 구룡리 454번지 30호  
에이원농장,한우,전라남도 장흥군 안양면 운흥리 45번지  
,한우,전라남도 장흥군 장흥읍 영전리 747번지 4호  
,한우,전라남도 장흥군 부산면 유량리 220번지 8호 외1필지 
,한우,전라남도 장흥군 회진면 회진리 481번지 1호  
재천농장,한우,전라남도 장흥군 장흥읍 영전리 773번지 3호  
우리들농장,한우,전라남도 장흥군 관산읍 죽청리 279번지 1호  
정인농장,한우,전라남도 장흥군 회진면 신상리 1138번지 6호  
,한우,전라남도 장흥군 대덕읍 신월리 655번지 2호 외 1필지 
,한우,전라남도 장흥군 장흥읍 순지리 17번지  
우호축산,한우,전라남도 장흥군 장흥읍 덕제리 619번지  
,한우,전라남도 장흥군 관산읍 옥당리 523번지 11호  
,한우,전라남도 장흥군 안양면 신촌리 471번지 8호  
,한우,전라남도 장흥군 관산읍 외동리 58번지 4호 외 1필지 
구룡농장,한우,전라남도 장흥군 대덕읍 연정리 1306번지 16호  
,한우,전라남도 장흥군 대덕읍 신리 213번지 2호  
,한우,전라남도 장흥군 관산읍 삼산리 252번지 1호  
,한우,전라남도 장흥군 회진면 회진리 1599호 3통  
홍기농장,한우,전라남도 장흥군 안양면 수락리 123번지  
,한우,"전라남도 장흥군 안양면 모령리 217-1, 216-8, 216-9번지 "
정인축산,한우,전라남도 장흥군 안양면 수락리 59번지 7호  
,한우,전라남도 장흥군 장흥읍 덕제리 492번지 3호  
유**농장,한우,"전라남도 장흥군 장평면 우산리 680-1, 678-13번지 "
탐마루 장흥한우,한우,전라남도 장흥군 부산면 호계리 346번지 2호 외 2필지 
노암농장,한우,전라남도 장흥군 장흥읍 영전리 516번지 3호  
문** 농장,한우,전라남도 장흥군 장평면 축내리 129번지 5호  
,한우,전라남도 장흥군 관산읍 삼산리 184번지 18호  
최**,한우,전라남도 장흥군 관산읍 외동리 310번지 1호 외 1필지 
,한우,전라남도 장흥군 장동면 봉동리 765번지  
천재농장,한우,전라남도 장흥군 용산면 금곡리 16번지  
,한우,전라남도 장흥군 대덕읍 가학리 170번지  
정남진 장흥 한우법인,한우,"전라남도 장흥군 부산면 호계리 346-2, 346-1, 346-4번지(가동,A동,E동) "
상우농장,한우,전라남도 장흥군 장흥읍 향양리 264번지 4호 외 1필지 
풀로만목장,한우,전라남도 장흥군 대덕읍 신월리 851번지  
인주농장,한우,전라남도 장흥군 회진면 진목리 17번지 1호  
안산축산,한우,전라남도 장흥군 회진면 회진리 274번지 7호  
소원농장,한우,전라남도 장흥군 안양면 신촌리 21번지 5호  
형제농장,한우,전라남도 장흥군 안양면 지천리 235번지 1호  
승일농장,한우,전라남도 장흥군 관산읍 하발리 850번지  
호농장,한우,전라남도 장흥군 회진면 신상리 32번지 1호  
대림농장,한우,전라남도 장흥군 장평면 임리 40번지 1호  
박민농장,한우,"전라남도 장흥군 장흥읍 덕제리 335-4, 335-7번지 "
,한우,전라남도 장흥군 관산읍 외동리 310번지 1호  
,한우,전라남도 장흥군 용산면 상금리 521번지 외1필지 
삼정농원,한우,전라남도 장흥군 용산면 모산리 367번지 6호  
하늘농장,한우,전라남도 장흥군 관산읍 외동리 303번지 19호  
미르농장,한우,전라남도 장흥군 관산읍 죽청리 279번지 1호  
다연농장,한우,전라남도 장흥군 부산면 호계리 202번지 1호  
,한우,전라남도 장흥군 관산읍 죽청리 120번지 3호  
현근농장,한우,전라남도 장흥군 관산읍 지정리 166번지 2호  
장흥축협생축장,한우,전라남도 장흥군 관산읍 농안리 29번지 6호 외 7필지 
다연축사,한우,전라남도 장흥군 회진면 덕산리 578번지  
,한우,전라남도 장흥군 관산읍 외동리 233번지 외1필지 
홍근농장,한우,전라남도 장흥군 관산읍 부평리 305번지 6호  
정남진장흥한우육종단지,한우,전라남도 장흥군 관산읍 부평리 24번지 외1필지 
박**농장,한우,전라남도 장흥군 용산면 풍길리 산 25번지  
목단농장,한우,전라남도 장흥군 안양면 모령리 138번지 1호  
어장간축산,한우,전라남도 장흥군 안양면 지천리 168번지 외 1필지 
홍부농장,한우,전라남도 장흥군 관산읍 부평리 306번지 2호  
,한우,전라남도 장흥군 회진면 회진리 1250번지  
대성농장,한우,전라남도 장흥군 부산면 호계리 172번지 1호  
소리농장,한우,전라남도 장흥군 대덕읍 연지리 239번지 2호 1필지 
호산농장,한우,전라남도 장흥군 관산읍 고마리  
미정농장,한우,전라남도 장흥군 장흥읍 순지리 5번지 3호  
시태농장,한우,"전라남도 장흥군 대덕읍 신월리 714번지 1호 , 1099-4번지 "
당암축산,한우,전라남도 장흥군 안양면 당암리 10번지 1호 외2필지 
진선농장,한우,전라남도 장흥군 장평면 용강리 339번지 외 1필지 
삼정농장,한우,전라남도 장흥군 장흥읍 향양리 88번지  
,한우,전라남도 장흥군 대덕읍 연정리 440번지  
해바라기농장,한우,전라남도 장흥군 관산읍 삼산리 259번지 1호  
,한우,전라남도 장흥군 용산면 어산리 507번지  
신풍2농장,한우,전라남도 장흥군 용산면 풍길리 41번지 22호 외 1필지 
,한우,전라남도 장흥군 대덕읍 도청리 200번지 1호  
구남농장,한우,전라남도 장흥군 장동면 만년리 731번지 1호  
,한우,전라남도 장흥군 용산면 덕암리 228번지 1호  
,한우,전라남도 장흥군 관산읍 외동리 395번지  
풍길축산,한우,전라남도 장흥군 용산면 풍길리 41번지 7호  
기청농장,한우,전라남도 장흥군 안양면 지천리 186번지 1호  
정남진 현대농장,한우,전라남도 장흥군 부산면 호계리 341번지 10호  
초록농장,한우,"전라남도 장흥군 대덕읍 가학리 401, 399, 400번지(주1, 부2동) "
병학농장,한우,전라남도 장흥군 장동면 북교리 16번지 9호  
천열농장,한우,전라남도 장흥군 장평면 두봉리 1106번지 4호  
옥산농장,한우,전라남도 장흥군 장평면 두봉리 668번지  
응암농장,한우,전라남도 장흥군 장평면 두봉리 1103번지  
기재농장,한우,전라남도 장흥군 장동면 배산리 213번지 1호  
태섭농장,한우,전라남도 장흥군 장동면 배산리 186번지 2호  
용우농장,한우,전라남도 장흥군 장동면 북교리 268번지  
선임농장,한우,전라남도 장흥군 장동면 조양리 329번지 1호  
용반농장,한우,전라남도 장흥군 장동면 북교리 291번지  
정관농장,한우,전라남도 장흥군 장동면 용곡리 17번지 4호  
동식농장,한우,전라남도 장흥군 장동면 배산리 547번지  
연규농장,한우,전라남도 장흥군 장동면 봉동리 497번지  
김**농장,한우,전라남도 장흥군 장동면 북교리 243번지  
성열농장,한우,전라남도 장흥군 장동면 북교리 237번지  
동기농장,한우,전라남도 장흥군 장동면 용곡리 21번지  
윤선농장,한우,전라남도 장흥군 장동면 봉동리 934번지 1호  
정주농장,한우,전라남도 장흥군 장동면 봉동리 416번지  
경수농장,한우,전라남도 장흥군 장동면 북교리 16번지 4호  
채선농장,한우,전라남도 장흥군 장동면 만년리 54번지 11호  
명흠농장,한우,전라남도 장흥군 장동면 만년리 575번지 2호  
덕규농장,한우,전라남도 장흥군 장동면 봉동리 319번지 2호  
남하농장,한우,전라남도 장흥군 장동면 반산리 437번지 2호  
진기농장,한우,전라남도 장흥군 장동면 만년리 449번지  
창환농장,한우,전라남도 장흥군 장동면 반산리 655번지 23호  
려룡축산,한우,전라남도 장흥군 장동면 만년리 307번지 5호  
학배농장,한우,전라남도 장흥군 대덕읍 연정리 1172번지  
정운농장,한우,전라남도 장흥군 대덕읍 연지리 56번지 169호  
종석농장,한우,전라남도 장흥군 대덕읍 가학리 822번지 14호  
영순농장,한우,전라남도 장흥군 용산면 어산리 543번지 1호  
경철농장,한우,전라남도 장흥군 유치면 조양리 719번지  
종열농장,한우,전라남도 장흥군 유치면 신월리 725번지 5호  
수인농장,한우,전라남도 장흥군 유치면 조양리 265번지 3호  
동훈농장,한우,전라남도 장흥군 안양면 해창리 521번지 3호  
정남농장,한우,전라남도 장흥군 대덕읍 연지리 36번지 18호  
대덕한우,한우,전라남도 장흥군 대덕읍 연지리 198번지  
진만농장,한우,전라남도 장흥군 부산면 금자리 638번지  
평식농장,한우,전라남도 장흥군 부산면 금자리 365번지  
남배농장,한우,"전라남도 장흥군 부산면 호계리 341번지 5호 (다동, 사동) "
계옥농장,한우,전라남도 장흥군 장평면 봉림리  
제산농장,한우,전라남도 장흥군 장평면 제산리 243번지  
민숙농장,한우,전라남도 장흥군 안양면 수양리 457번지 4호  
하**농장,한우,전라남도 장흥군 대덕읍 신리 210번지 3호  
,한우,전라남도 장흥군 장평면 양촌리 379번지  
정종농장,한우,전라남도 장흥군 대덕읍 연지리 36번지 18호  
,한우,전라남도 장흥군 회진면 회진리 61번지 1호 외 1필지 
영식농장,한우,전라남도 장흥군 대덕읍 연지리 198번지  
동석농장,한우,전라남도 장흥군 관산읍 송촌리 824번지 2호  
,한우,전라남도 장흥군 대덕읍 연정리 763번지 13호  
남송농장,한우,전라남도 장흥군 안양면 해창리 1229번지 1호  
병철농장,한우,전라남도 장흥군 안양면 사촌리 509번지 3호  
진희농장,한우,전라남도 장흥군 부산면 금자리 463번지 7호  
,한우,전라남도 장흥군 대덕읍 연지리 911번지  
진승농장,한우,전라남도 장흥군 안양면 수락리 52번지 11호  
태웅축산,한우,전라남도 장흥군 안양면 수락리 51번지 14호  
뚝방한우,한우,전라남도 장흥군 안양면 지천리 222번지 1호  
분토농장,한우,"전라남도 장흥군 대덕읍 분토리 122, 122-2, 124번지 "
덕수농장,한우,전라남도 장흥군 장흥읍 영전리 748번지 1호  
동산농장,한우,전라남도 장흥군 관산읍 삼산리 147번지  
정순농장,한우,전라남도 장흥군 관산읍 삼산리 240번지 6호  
호림농장,한우,전라남도 장흥군 회진면 회진리 1254번지 외 3필지 
정화농장,한우,전라남도 장흥군 장흥읍 금산리 146번지  
사랑농장,한우,전라남도 장흥군 대덕읍 연지리 552번지 2호  
오**농가,한우,전라남도 장흥군 관산읍 용전리 103번지 1호  
규헌농장,한우,전라남도 장흥군 용산면 풍길리 286번지  
홍석축산,한우,전라남도 장흥군 관산읍 삼산리 1325번지 2호  
남가네 농장,한우,전라남도 장흥군 관산읍 삼산리 276번지 1호  
자작골축산,한우,전라남도 장흥군 장평면 용강리 339번지  
,한우,전라남도 장흥군 관산읍 신동리 517번지 5호  
학송농장,한우,전라남도 장흥군 안양면 신촌리 456번지 6호  
부평축산,한우,전라남도 장흥군 장평면 내동리 469번지  
치연농장,한우,전라남도 장흥군 대덕읍 신월리 655번지 2호  
소영농장,한우,전라남도 장흥군 대덕읍 신월리 625번지  
신동축산,한우,"전라남도 장흥군 관산읍 신동리 206-2, 206-4, 565-48번지 "
남송농장,한우,전라남도 장흥군 관산읍 부평리 271번지  
서리산축산,한우,전라남도 장흥군 장동면 반산리 413번지 1호  
우산농장,한우,전라남도 장흥군 관산읍 삼산리 1334번지 4호  
,한우,전라남도 장흥군 안양면 해창리 14번지  
경호축산,한우,전라남도 장흥군 장흥읍 순지리 5번지 1호  
삼산농장,한우,전라남도 장흥군 관산읍 삼산리 1650번지  
꿀벌농장,한우,전라남도 장흥군 장흥읍 금산리 183번지 1호  
해창농장,한우,전라남도 장흥군 안양면 해창리 227번지  
접정 농장,한우,전라남도 장흥군 용산면 접정리 216번지 2호  
한비농장,한우,전라남도 장흥군 대덕읍 연지리 567번지 9호  
,한우,"전라남도 장흥군 관산읍 삼산리 241번지 -9, -10 "
,한우,전라남도 장흥군 관산읍 하발리 935번지  
,한우,전라남도 장흥군 장동면 북교리 841번지 2호  
,한우,전라남도 장흥군 대덕읍 신리 462번지 2호  
,한우,전라남도 장흥군 회진면 회진리 1621번지 1호  
,한우,전라남도 장흥군 장평면 축내리 550번지 7호  
백운농장,한우,전라남도 장흥군 장흥읍 덕제리 423번지  
새뜸농장,한우,전라남도 장흥군 회진면 덕산리 1761번지 2호  
,한우,전라남도 장흥군 용산면 녹원리 386번지 7호  
다성원목장,한우,전라남도 장흥군 회진면 덕산리 1760번지 5호  
,한우,전라남도 장흥군 관산읍 삼산리 398번지  
쌍둥이농장,한우,전라남도 장흥군 안양면 학송리 60번지 8호  
,한우,전라남도 장흥군 장동면 봉동리 170번지 1호  
민준농장,한우,"전라남도 장흥군 용산면 접정리 405번지 11호 , 405-13 "
학송농장,한우,전라남도 장흥군 안양면 신촌리 456번지 6호  
