연번,사업장명,주사육업종,사업장소재지,등록일자,데이터기준일자
982,○○농장,오리,전라남도 나주시 왕곡면 장산리,2011-02-14,2023-01-20
985,○○농장,육계,전라남도 나주시 산포면 매성리,2011-02-14,2023-01-20
989,○○농장,오리,전라남도 나주시 동강면 장동리,2011-03-02,2023-01-20
995,○○농장,육계,전라남도 나주시 반남면 흥덕리,2011-03-02,2023-01-20
997,○○농장,육계,전라남도 나주시 공산면 상방리,2011-03-20,2023-01-20
998,○○농장,종계/산란계,전라남도 나주시 봉황면 죽석리,2011-03-30,2023-01-20
1001,○○농장,오리,전라남도 나주시 세지면 죽동리,2011-04-04,2023-01-20
1004,○○농장,오리,전라남도 나주시 세지면 송제리,2011-04-07,2023-01-20
1006,○○농장,오리,전라남도 나주시 봉황면 송현리,2011-04-10,2023-01-20
1010,○○농장,오리,전라남도 나주시 세지면 죽동리,2011-04-13,2023-01-20
1013,○○농장,오리,전라남도 나주시 공산면 상방리,2011-05-13,2023-01-20
1014,○○농장,오리,전라남도 나주시 세지면 내정리,2011-05-16,2023-01-20
1015,○○농장,오리,전라남도 나주시 노안면 유곡리,2011-05-16,2023-01-20
1018,○○농장,오리,전라남도 나주시 왕곡면 신원리,2011-05-18,2023-01-20
1029,○○농장,오리,전라남도 나주시 영산동 ,2011-07-27,2023-01-20
1034,○○농장,오리,전라남도 나주시 반남면 덕산리,2011-09-23,2023-01-20
1037,○○농장,육계,전라남도 나주시 남평읍 우산리,2011-10-06,2023-01-20
1039,○○농장,오리,전라남도 나주시 관정동 ,2011-10-06,2023-01-20
1041,○○농장,육계,전라남도 나주시 남평읍 교원리,2011-11-02,2023-01-20
1043,○○농장,오리,전라남도 나주시 남평읍 교원리,2011-11-21,2023-01-20
1044,○○농장,오리,전라남도 나주시 세지면 죽동리,2011-11-21,2023-01-20
1066,○○농장,오리,전라남도 나주시 동강면 곡천리,2012-03-13,2023-01-20
1079,○○농장,오리,전라남도 나주시 동강면 장동리,2012-05-25,2023-01-20
1084,○○농장,오리,전라남도 나주시 세지면 죽동리,2012-06-04,2023-01-20
1089,○○농장,육계,전라남도 나주시 관정동,2012-08-14,2023-01-20
1090,○○축산,육계,전라남도 나주시 반남면 덕산리,2012-08-17,2023-01-20
1091,○○농장,육계,전라남도 나주시 공산면 동촌리,2012-08-20,2023-01-20
1092,○○농장,오리,전라남도 나주시 동강면 진천리,2012-08-28,2023-01-20
1150,○○농장,오리,전라남도 나주시 남평읍 교촌리,2013-02-01,2023-01-20
1153,○○농장,육계,전라남도 나주시 문평면 옥당리,2013-02-04,2023-01-20
1163,○○농장,육계,전라남도 나주시 동강면 곡천리,2013-02-20,2023-01-20
1173,○○농장,육계,전라남도 나주시 반남면 덕산리,2013-03-11,2023-01-20
1182,○○농장,육계,전라남도 나주시 문평면 국동리,2013-04-02,2023-01-20
1189,행복한농사꾼,종계/산란계,전라남도 나주시 노안면 양천리,2013-04-11,2023-01-20
1192,○○농장,오리,전라남도 나주시 세지면 죽동리,2013-04-17,2023-01-20
1228,○○법인,오리,전라남도 나주시 다시면 문동리,2013-08-28,2023-01-20
1262,○○농장,오리,전라남도 나주시 반남면 신촌리,2013-12-02,2023-01-20
1263,○○농장,오리,전라남도 나주시 반남면 신촌리,2013-12-02,2023-01-20
1265,○○농장,오리,전라남도 나주시 반남면 성계리,2013-12-02,2023-01-20
1287,알파쓰리,오리,전라남도 나주시 왕곡면 화정리,2013-12-12,2023-01-20
1317,관상조류마을,육계,전라남도 나주시 봉황면 신동리,2014-01-14,2023-01-20
1353,○○농장,육계,전라남도 나주시 산포면 매성리,2014-01-22,2023-01-20
1465,○○농원,육계,전라남도 나주시 다도면 판촌리,2014-04-22,2023-01-20
1466,○○농장,오리,전라남도 나주시 공산면 남창리,2014-05-27,2023-01-20
1470,○○농장,오리,전라남도 나주시 왕곡면 월천리,2014-07-04,2023-01-20
1477,○○농장,육계,전라남도 나주시 다도면 암정리,2014-07-17,2023-01-20
1483,○○농장,오리,전라남도 나주시 다시면 송촌리,2014-08-18,2023-01-20
1487,○○농장,오리,전라남도 나주시 반남면 대안리,2014-09-02,2023-01-20
1492,○○축산,오리,전라남도 나주시 남평읍 풍림리,2014-10-20,2023-01-20
1493,○○농장,육계,전라남도 나주시 공산면 상방리,2014-10-22,2023-01-20
1495,○○농장,육계,전라남도 나주시 세지면 벽산리,2014-12-24,2023-01-20
1497,○○농장,오리,전라남도 나주시 왕곡면 송죽리,2015-01-15,2023-01-20
1499,○○농장,육계,전라남도 나주시 동강면 곡천리,2015-02-15,2023-01-20
1501,○○농장,육계,전라남도 나주시 다도면 신동리,2015-03-09,2023-01-20
1505,○○농장,육계,전라남도 나주시 관정동 ,2015-05-18,2023-01-20
1511,○○농장,오리,전라남도 나주시 반남면 덕산리,2015-07-16,2023-01-20
1513,○○농장,육계,전라남도 나주시 산포면 산제리,2015-09-15,2023-01-20
1514,○○농장,육계,전라남도 나주시 남평읍 노동리,2015-09-15,2023-01-20
1516,○○농장,육계,전라남도 나주시 반남면 흥덕리,2015-09-25,2023-01-20
1527,○○농장,육계,전라남도 나주시 남평읍 남석리,2016-01-11,2023-01-20
1534,○○농장,오리,전라남도 나주시 세지면 죽동리,2016-04-08,2023-01-20
1537,○○농장,오리,전라남도 나주시 세지면 동곡리,2016-06-02,2023-01-20
1540,○○농장,오리,전라남도 나주시 봉황면 오림리,2016-07-14,2023-01-20
1543,○○농장,육계,전라남도 나주시 왕곡면 송죽리,2016-07-27,2023-01-20
1548,○○농장,오리,전라남도 나주시 산포면 화지리,2016-08-12,2023-01-20
1552,○○농장,육계,전라남도 나주시 공산면 화성리,2016-10-26,2023-01-20
1554,○○농장,오리,전라남도 나주시 다도면 덕동리,2016-12-01,2023-01-20
1565,○○농장,오리,전라남도 나주시 동강면 곡천리,2017-01-13,2023-01-20
1574,○○농장,육계,전라남도 나주시 왕곡면 송죽리,2017-03-20,2023-01-20
1576,○○축산,육계,전라남도 나주시 다도면 방산리,2017-03-28,2023-01-20
1577,○○농장,육계,전라남도 나주시 왕곡면 화정리,2017-04-10,2023-01-20
1579,○○농장,육계,전라남도 나주시 남평읍 우산리,2017-05-08,2023-01-20
1582,○○농장,오리,전라남도 나주시 세지면 죽동리,2017-05-25,2023-01-20
1583,○○농장,오리,전라남도 나주시 세지면 죽동리,2017-05-25,2023-01-20
1592,○○농장,오리,전라남도 나주시 남평읍 우산리,2017-07-05,2023-01-20
1601,○○농장,종계/산란계,전라남도 나주시 공산면 복용리,2017-08-28,2023-01-20
1602,○○농장,오리,전라남도 나주시 세지면 오봉리,2017-09-04,2023-01-20
1619,○○양계,종계/산란계,전라남도 나주시 세지면 교산리,2017-11-23,2023-01-20
1638,○○농장,오리,전라남도 나주시 반남면 흥덕리,2018-02-13,2023-01-20
1639,○○농장,오리,전라남도 나주시 다도면 덕동리,2018-02-14,2023-01-20
1641,○○농장,종계/산란계,전라남도 나주시 문평면 송산리,2018-02-20,2023-01-20
1642,○○농장,육계,전라남도 나주시 남평읍 우산리,2018-03-05,2023-01-20
1652,가송,오리,전라남도 나주시 공산면 가송리,2018-04-06,2023-01-20
1653,○○오리,오리,전라남도 나주시 세지면 성산리,2018-04-16,2023-01-20
1658,○○농장,육계,전라남도 나주시 공산면 중포리,2018-05-15,2023-01-20
1660,○○농장,육계,전라남도 나주시 봉황면 옥산리,2018-05-23,2023-01-20
1661,○○팜,종계/산란계,전라남도 나주시 공산면 복용리,2018-05-30,2023-01-20
1669,○○농장,육계,전라남도 나주시 세지면 성산리,2018-07-12,2023-01-20
1678,○○농장,종계/산란계,전라남도 나주시 봉황면 유곡리,2018-08-06,2023-01-20
1697,○○농장,오리,전라남도 나주시 공산면 가송리,2018-12-20,2023-01-20
1712,○○farm,육계,전라남도 나주시 세지면 교산리,2019-03-21,2023-01-20
1720,○○농장,육계,전라남도 나주시 공산면 복용리,2019-04-17,2023-01-20
1721,○○농장,오리,전라남도 나주시 동강면 장동리,2019-04-17,2023-01-20
1722,○○농원,오리,전라남도 나주시 동강면 월양리,2019-04-24,2023-01-20
1726,○○농장,기러기,전라남도 나주시 동수동 14번,2019-05-03,2023-01-20
1738,행복한농사꾼,종계/산란계,전라남도 나주시 노안면 양천리,2019-06-13,2023-01-20
1747,○○농장,육계,전라남도 나주시 공산면 중포리,2019-07-25,2023-01-20
1748,○○농장,오리,전라남도 나주시 공산면 가송리,2019-07-25,2023-01-20
1763,○○농장,오리,전라남도 나주시 세지면 송제리,2019-10-22,2023-01-20
1771,○○○,오리,전라남도 나주시 공산면 동촌리,2019-11-22,2023-01-20
1777,○○농장,오리,전라남도 나주시 동강면 장동리,2019-12-30,2023-01-20
1847,○○농장,오리,전라남도 나주시 세지면 내정리,2020-12-29,2023-01-20
1849,○○농장,오리,전라남도 나주시 다시면 동곡리,2021-01-06,2023-01-20
1946,유한회사 ○○○,육계,전라남도 나주시 다시면 송촌리,2022-10-05,2023-01-20
1959,○○농장,육계,전라남도 나주시 봉황면 황용리,2005-05-30,2023-01-20
1981,○○농장,오리,전라남도 나주시 산포면 덕례리,2005-09-27,2023-01-20
1986,○○농장,오리,전라남도 나주시 산포면 덕례리,2005-11-01,2023-01-20
1995,○○농장,육계,전라남도 나주시 봉황면 유곡리,2006-03-08,2023-01-20
1996,○○농장,오리,전라남도 나주시 공산면 남창리,2007-05-29,2023-01-20
1999,○○농장,육계,전라남도 나주시 다도면 마산리,2008-01-10,2023-01-20
2001,○○농장,오리,전라남도 나주시 공산면 화성리,2008-06-20,2023-01-20
2026,○○농장,오리,전라남도 나주시 노안면 도산리,2011-12-30,2023-01-20
2046,○○농장,메추리,전라남도 나주시 다도면 풍산리,2018-01-05,2023-01-20
2054,○○농장,종오리업,전라남도 나주시 반남면 흥덕리,2009-03-13,2023-01-20
2055,○○농원,종오리업,전라남도 나주시 동강면 장동리,2009-12-23,2023-01-20
2056,○○농장,종계업,전라남도 나주시 봉황면 유곡리,2010-02-17,2023-01-20
2057,○○농원,종오리업,전라남도 나주시 동강면 대전리,2010-05-07,2023-01-20
2058,○○농장,종오리업,전라남도 나주시 동강면 장동리,2010-05-31,2023-01-20
2059,○○농장,종오리업,전라남도 나주시 반남면 흥덕리,2010-07-07,2023-01-20
2060,○○농장,종오리업,전라남도 나주시 노안면 오정리,2010-07-07,2023-01-20
2061,○○축산,종오리업,전라남도 나주시 다시면 문동리,2011-07-01,2023-01-20
2062,경주부화장,종오리업,전라남도 나주시 동강면 장동리,2011-12-20,2023-01-20
2063,○○농장,종계업,전라남도 나주시 봉황면 유곡리,2013-01-24,2023-01-20
2064,○○농장,종오리업,전라남도 나주시 노안면 유곡리,2015-10-21,2023-01-20
2065,○○농장,종오리업,전라남도 나주시 동강면 장동리,2015-12-02,2023-01-20
2066,○○농장,종오리업,전라남도 나주시 동강면 장동리,2015-12-02,2023-01-20
2067,○○축산,종계업,전라남도 나주시 동수동,2017-06-09,2023-01-20
2068,○○농장,종오리업,전라남도 나주시 남평읍 상곡리,2019-08-08,2023-01-20
2069,○○농장,종오리업,전라남도 나주시 동강면 장동리,2022-10-05,2023-01-20
