축산업종류,사업장명칭,주사육업종,사업장소재지,사육두수,데이터기준일자
가축사육업,가온농장,육계,전라북도 부안군 행안면 삼간리 2342번지 1호  ,130000,2022-12-05
가축사육업,성일농장,육계,전라북도 부안군 행안면 삼간리 2342번지 9호  ,0,2022-12-05
가축사육업,예근농장,육계,전라북도 부안군 줄포면 우포리 624번지 2호 624-4 ,70000,2022-12-05
가축사육업,해금농장,육계,"전라북도 부안군 상서면 고잔리 510번지 1호 , 510-8 ",100000,2022-12-05
가축사육업,대명농장,오리,전라북도 부안군 계화면 창북리 4466번지 14호  ,10000,2022-12-05
가축사육업,해드림농장,육계,전라북도 부안군 계화면 양산리 2457번지 8호 외 1필지(2457-9) ,80000,2022-12-05
가축사육업,한울농장,육계,전라북도 부안군 동진면 안성리 1852번지 6호 외 1필 ,98000,2022-12-05
가축사육업,성혁농장,육계,"전라북도 부안군 백산면 죽림리 784번지 외 2필지(783, 783-1번지) ",80000,2022-12-05
가축사육업,예솔농장,육계,전라북도 부안군 부안읍 외하리 574번지 외1필지(575) ,80000,2022-12-05
가축사육업,새한농장,메추리,전라북도 부안군 백산면 대죽리 364번지 6호 외1필지(364-18) ,140000,2022-12-05
가축사육업,신원농장,육계,"전라북도 부안군 백산면 죽림리 785번지 외 2필지(786,786-1) ",90000,2022-12-05
가축사육업,예은농장,육계,"전라북도 부안군 줄포면 대동리 1209번지 2호 외3필지(1209-3, -4, -5) ",112800,2022-12-05
가축사육업,해피마실농장,오리,전라북도 부안군 동진면 동전리 2588번지 1호 외 1필지(2589) ,13000,2022-12-05
가축사육업,행안농장,육계,전라북도 부안군 행안면 삼간리 2344번지 2호  ,85000,2022-12-05
가축사육업,청호축산,육계,전라북도 부안군 행안면 삼간리 2345번지 7호  ,80000,2022-12-05
가축사육업,농업회사법인가농유한회사 계화농장,육계,전라북도 부안군 계화면 창북리 4225번지 1호 외 3필 ,504000,2022-12-05
가축사육업,정영농장,육계,    ,120000,2022-12-05
가축사육업,해오름농장,육계,전라북도 부안군 계화면 창북리 4239번지 1호  ,98000,2022-12-05
가축사육업,금산농장,육계,전라북도 부안군 계화면 창북리 4239번지 5호  ,120000,2022-12-05
가축사육업,더불어 참살이,육계,전라북도 부안군 동진면 안성리 1853번지 1호  ,50000,2022-12-05
가축사육업,금판리농장,오리,전라북도 부안군 백산면 금판리 817-3번지 외 1필(817-4) ,0,2022-12-05
가축사육업,진성농장,육용오리,전라북도 부안군 주산면 백석리 51번지 8호 1-7동 ,25000,2022-12-05
가축사육업,누리농장,육계,전라북도 부안군 계화면 양산리 2457번지 4호  ,50000,2022-12-05
가축사육업,누리농장,육계,전라북도 부안군 계화면 양산리 2457번지 5호  ,50000,2022-12-05
가축사육업,욱이농장,오리,전라북도 부안군 계화면 창북리 4455-13 ,0,2022-12-05
가축사육업,모리아팜,오리,전라북도 부안군 줄포면 장동리 862번지 3호  ,29500,2022-12-05
가축사육업,반계농장,종계/산란계,전라북도 부안군 진서면 진서리 80번지  ,80,2022-12-05
가축사육업,보담농장,육계,전라북도 부안군 동진면 안성리 1852번지 2호  ,60000,2022-12-05
가축사육업,도담농장,육계,전라북도 부안군 동진면 안성리 1852번지 3호  ,60000,2022-12-05
가축사육업,대명농장2,육계,전라북도 부안군 계화면 창북리 4466번지 12호  ,60000,2022-12-05
가축사육업,소담농장,육계,전라북도 부안군 동진면 안성리 1852번지 7호  ,60000,2022-12-05
가축사육업,마루농장,육계,전라북도 부안군 동진면 안성리 1852번지 8호  ,60000,2022-12-05
가축사육업,아람농장,육계,전라북도 부안군 동진면 안성리 1852번지 9호  ,40000,2022-12-05
가축사육업,부안 기러기 농장,기러기,전라북도 부안군 행안면 삼간리 479번지 1호  ,1500,2022-12-05
가축사육업,오리농장,오리,전라북도 부안군 줄포면 난산리 878번지  ,20000,2022-12-05
가축사육업,부안농장,육계,전라북도 부안군 보안면 상입석리 574번지 1호  ,65000,2022-12-05
가축사육업,이삭농장,육계,전라북도 부안군 부안읍 외하리 565번지  ,50000,2022-12-05
가축사육업,창북농장,육계,전라북도 부안군 계화면 창북리 4007번지 2호  ,20000,2022-12-05
가축사육업,창북농장,육계,전라북도 부안군 계화면 창북리 4007번지 1호  ,50000,2022-12-05
가축사육업,현덕농장,육계,전라북도 부안군 계화면 궁안리 2409번지 4호  ,20000,2022-12-05
가축사육업,탑농장,육계,전라북도 부안군 계화면 궁안리 2403번지 15호  ,80000,2022-12-05
가축사육업,햇살농장,육계,전라북도 부안군 계화면 궁안리 2367번지 2호  ,60000,2022-12-05
가축사육업,동암농장,육계,전라북도 부안군 계화면 궁안리 2409번지 8호  ,120000,2022-12-05
가축사육업,유정농장,육계,전라북도 부안군 동진면 안성리 1845번지 3호  ,60000,2022-12-05
가축사육업,후다닭농장,육계,전라북도 부안군 계화면 궁안리 2327번지 6호 외 1필지 ,50000,2022-12-05
가축사육업,부안 기러기 농장2,기러기,전라북도 부안군 부안읍 내요리 55번지  ,1000,2022-12-05
가축사육업,에덴농장,육계,전라북도 부안군 행안면 대초리 1005번지 9호  ,60000,2022-12-05
가축사육업,산돌농원(제1농장),육계,전라북도 부안군 주산면 사산리 609번지 11호  ,67000,2022-12-05
가축사육업,나래농장2,육계,전라북도 부안군 계화면 양산리 2535번지 6호  ,62000,2022-12-05
가축사육업,나래1농장,육계,전라북도 부안군 계화면 양산리 2535번지 3호  ,64000,2022-12-05
가축사육업,나봄2농장,육계,전라북도 부안군 계화면 양산리 2535번지 5호  ,64000,2022-12-05
가축사육업,나봄1농장,육계,전라북도 부안군 계화면 양산리 2535번지 1호  ,74000,2022-12-05
가축사육업,유림농장,육계,전라북도 부안군 동진면 안성리 1845번지 2호  ,60000,2022-12-05
가축사육업,봉황타조농장,타조,전라북도 부안군 줄포면 파산리 446번지  ,39,2022-12-05
가축사육업,동산농장,육계,전라북도 부안군 행안면 대초리 1005번지 6호  ,65000,2022-12-05
종축업,별이,종계업,전라북도 부안군 상서면 감교리 807번지 12호  ,22000,2022-12-05
종축업,골든,종계업,전라북도 부안군 진서면 진서리 63번지 4호  ,22000,2022-12-05
종축업,월광농장,종계업,전라북도 부안군 보안면 월천리 995번지 1호  ,18000,2022-12-05
종축업,부안양계영농조합법인,종계업,전라북도 부안군 주산면 백석리 425번지 15호  ,88000,2022-12-05
종축업,성룡농장,종계업,전라북도 부안군 보안면 월천리 274번지  ,6600,2022-12-05
종축업,백산농장,종계업,전라북도 부안군 백산면 하청리 483번지 6호  ,64000,2022-12-05
종축업,보경농장,종계업,전라북도 부안군 보안면 부곡리 86번지 1호 외 6필지 ,28500,2022-12-05
종축업,신흥농장,종계업,전라북도 부안군 부안읍 신흥리 279번지 22호 외 10필 ,22000,2022-12-05
종축업,갑도농장,종계업,전라북도 부안군 진서면 진서리 63번지 1호  ,51900,2022-12-05
종축업,서원농장,종계업,"전라북도 부안군 보안면 상림리 219번지 1호 외 3필(219-2, 219-3, 532) ",29000,2022-12-05
종축업,가농보안농장,종계업,전라북도 부안군 보안면 월천리 1011번지 외 2필 ,110000,2022-12-05
종축업,평교 종계장,종계업,전라북도 부안군 부안읍 신흥리 산 82번지 1호  ,14000,2022-12-05
종축업,다산2농장,종오리업,전라북도 부안군 진서면 진서리 1273번지 5호  ,5500,2022-12-05
종축업,다산1농장,종오리업,전라북도 부안군 진서면 진서리 1273번지 6호  ,5500,2022-12-05
종축업,증산농장,종계업,전라북도 부안군 동진면 증산리 85번지 1호 증산농장 ,31000,2022-12-05
종축업,진서1농장,종오리업,전라북도 부안군 진서면 운호리 238번지 11호 진서종계장 ,10800,2022-12-05
종축업,진서2농장,종오리업,전라북도 부안군 진서면 운호리 238번지 11호 진서종계장 ,7800,2022-12-05
