시도명,시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜,감염날짜
경기도,안성시,스마일2 농장,오리,,12000.0,경기도 안성시 미양면 고지리 426번지,36.9638616,127.2083503,2020-11-30,2020-12-15
경기도,안성시,스마일2 농장,오리,,12000.0,경기도 안성시 미양면 고지리 426번지,36.9640675842,127.2083512331,2021-06-30,2021-01-29
경기도,안성시,승애농장,닭,산란계,50000.0,경기도 안성시 공도읍 용두리 399번지 1호,37.0110963963,127.164243514,2021-06-30,2021-01-29
경기도,안성시,승일농장,닭,육계,25000.0,경기도 안성시 일죽면 능국리 674번지 (외 2필지),37.1128017285,127.4883504568,2021-06-30,2021-02-23
경기도,안성시,승희농장,닭,육계,100000.0,경기도 안성시 보개면 기좌리 150번지 2호 외 4필지,37.0333009149,127.2908077212,2021-06-30,2021-01-29
경기도,안성시,아리농장,닭,육계,85000.0,경기도 안성시 서운면 신기리 236번지,36.9542239,127.2738486,2020-07-31,2021-01-14
경기도,안성시,안성농장,닭,육계,70000.0,경기도 안성시 중리동 79번지 8호,36.979491102,127.2892023108,2021-06-30,2021-01-29
경기도,안성시,안성마춤육계,닭,육계,40000.0,경기도 안성시 대덕면 진현리 378번지 2호,37.0537162,127.2591485,2020-11-30,2021-01-13
경기도,안성시,야곱농장,닭,육계,100.0,경기도 안성시 대덕면 진현리 6번지 2호,37.0599867,127.2677594,2020-07-31,2021-01-13
경기도,안성시,양호농장,오리,,30000.0,경기도 안성시 서운면 신흥리 산 51번지,36.9286198,127.2424098,2020-07-31,2020-12-15
경기도,안성시,영윤농장,닭,육계,1000.0,경기도 안성시 양성면 장서리 320번지,37.1064018,127.2128747,2020-07-31,2020-12-23
경기도,안성시,오두리 농장,닭,육계,45000.0,경기도 안성시 보개면 오두리 255번지 5호,37.0430500587,127.315318223,2021-06-30,2021-01-28
경기도,안성시,오두리 농장,닭,육계,45000.0,경기도 안성시 보개면 오두리 255번지 5호,37.0430507,127.3143716,2020-07-31,2021-01-13
경기도,안성시,오성농장,닭,산란계,8000.0,경기도 안성시 원곡면 지문리 24번지 1호,37.047269,127.1433868,2021-04-30,2021-01-29
경기도,안성시,완기농장,닭,산란계,46.0,경기도 안성시 양성면 삼암리 474번지 6호,37.028893396,127.2060123317,2021-06-30,2021-01-29
경기도,안성시,용마농장,닭,육계,350.0,경기도 안성시 서운면 신기리 산 43번지,36.9571732,127.2726239,2021-04-30,2021-01-29
경기도,안성시,용성농장,오리,,6000.0,경기도 안성시 일죽면 신흥리 958번지 4호,37.1184038,127.4757372,2021-04-30,2021-02-02
경기도,안성시,우리농장,오리,,8000.0,경기도 안성시 보개면 내방리 19번지 외6필지,37.0268802,127.3130132,2021-04-30,2021-01-28
경기도,안성시,육계농장,닭,육계,50000.0,경기도 안성시 보개면 상삼리 54번지 2호,37.0223004904,127.3306713014,2021-06-30,2021-01-28
경기도,안성시,인주종계장,닭,산란계,182500.0,경기도 안성시 공도읍 진사리 376번지,36.990882035,127.1503303642,2021-06-30,2021-02-16
경기도,안성시,일월농장,닭,육계,41000.0,경기도 안성시 일죽면 월정리 1423번지,37.090909989,127.4437468178,2021-06-30,2021-02-01
경기도,안성시,일죽 농장,닭,산란계,30000.0,경기도 안성시 일죽면 장암리 35번지 3호,37.0809048,127.4682392,2020-07-31,2021-01-06
경기도,안성시,장수농장,닭,산란계,16000.0,경기도 안성시 원곡면 성주리 123번지,37.0860082,127.1691576,2020-11-30,2021-01-29
경기도,안성시,장수농장,닭,산란계,51700.0,경기도 안성시 미양면 고지리 69번지 4호,36.9550611,127.2217999,2020-07-31,2020-12-15
경기도,안성시,정기농장,닭,육계,2000.0,경기도 안성시 보개면 신안리 92번지 2호,37.0536333,127.3162361,2020-11-30,2021-01-13
경기도,안성시,정기농장,닭,육계,2000.0,경기도 안성시 보개면 신안리 92번지 2호,37.0537062475,127.3161134252,2021-06-30,2021-01-28
경기도,안성시,제일농장,닭,육계,30000.0,경기도 안성시 미양면 정동리 504번지 15호,36.9770186592,127.1964932492,2021-06-30,2021-01-29
경기도,안성시,준 농장,닭,육계,61400.0,경기도 안성시 미양면 강덕리 154번지 2호,36.9495113123,127.2362272079,2021-06-30,2021-01-29
경기도,안성시,진촌 농장,닭,산란계,13500.0,경기도 안성시 공도읍 진사리 112번지 4호,36.9869412,127.1368059,2020-07-31,2020-12-15
경기도,안성시,청산농장,닭,산란계,100000.0,경기도 안성시 공도읍 마정리 433번지 2호,37.0153418419,127.1941376365,2021-06-30,2021-01-29
경기도,안성시,큰오리농장,오리,,5000.0,"경기도 안성시 일죽면 능국리 674번지 , 659-1번지, 659-5번지",37.1127393,127.4883479,2020-07-31,2021-01-06
경기도,안성시,큰오리농장,오리,,6000.0,"경기도 안성시 일죽면 산북리 607번지 1호 , 607-2번지",37.0812442,127.502216,2020-07-31,2021-01-06
경기도,안성시,큰오리농장,오리,,12000.0,"경기도 안성시 일죽면 월정리 1727번지 , 1728번지, 1728-1번지, 1729번지, 1730번지",37.0806274,127.4584646,2020-07-31,2021-01-06
경기도,안성시,텃골축산,닭,산란계,150000.0,경기도 안성시 일죽면 장암리 411번지 27호 외 3필지,37.0809048,127.4682392,2021-04-30,2021-02-02
경기도,안성시,팔봉농장,닭,육계,40000.0,경기도 안성시 일죽면 장암리 438번지 3호,37.0756653049,127.4588132872,2021-06-30,2021-02-01
경기도,안성시,팔상농장,닭,육계,30000.0,경기도 안성시 일죽면 신흥리 540번지,37.114567,127.4753195,2021-04-30,2021-02-02
경기도,안성시,평안농장,오리,,20000.0,경기도 안성시 보개면 신안리 87번지 6호,37.053217,127.3134801,2020-07-31,2021-01-13
경기도,안성시,한성농장,오리,,9690.0,경기도 안성시 일죽면 산북리 125번지 1호 외 1필지,37.0812154769,127.5132146292,2021-06-30,2021-02-23
경기도,안성시,한신농장,닭,육계,53000.0,경기도 안성시 일죽면 죽림리 739번지,37.0790175,127.4409452,2021-04-30,2021-02-01
경기도,안성시,한신농장,닭,육계,53000.0,경기도 안성시 일죽면 죽림리 739번지,37.0791192722,127.4409903989,2021-06-30,2021-02-01
경기도,안성시,해샘찬농장,닭,산란계,20000.0,경기도 안성시 원곡면 반제리 150번지,37.0319131086,127.165152581,2021-06-30,2021-01-29
경기도,안성시,헌식농장,닭,육계,36500.0,경기도 안성시 미양면 구수리 45번지 3호 (외1필지),36.973164669,127.2574632716,2021-06-30,2021-01-29
경기도,안성시,현수농장,닭,육계,65000.0,경기도 안성시 현수동 291번지,36.9936362519,127.2900510814,2021-06-30,2021-01-29
