시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜,감염날짜
아산시,창원농장,닭,육계,25000,충청남도 아산시 둔포면 신양리 218-1,,,2025-05-01,2025-04-20
아산시,창의농장,닭,육계,80000,충청남도 아산시 도고면 시전리 350-1,,,2025-05-01,2025-04-20
아산시,청송농원,닭,육계,40000,충청남도 아산시 배미동 185-1,,,2025-05-01,2025-04-20
아산시,초록농장,닭,종계/산란계,200,충청남도 아산시 선장면 군덕리 459-7,,,2025-05-01,2025-04-20
아산시,초원농원,닭,종계/산란계,67720,충청남도 아산시 음봉면 산정리 223,,,2025-05-01,2025-04-20
아산시,초원충남사료 영농조합법인(아산지소),닭,종계/산란계,15000,충청남도 아산시 둔포면 신양리 255-2,,,2025-05-01,2025-04-20
아산시,칠목농장,닭,육계,45000,충청남도 아산시 신창면 행목리 311-1 외 7필지(98/98-1/101/310/311/311-2/311-9),,,2025-05-01,2025-04-20
아산시,통일청란,닭,종계/산란계,12700,충청남도 아산시 둔포면 산전리 390-8,,,2025-05-01,2025-04-20
아산시,평택농장,닭,육계,23680,충청남도 아산시 둔포면 신양리 305-15,,,2025-05-01,2025-04-20
아산시,푸른초원농원,닭,종계/산란계,21000,충청남도 아산시 음봉면 산정리 222-1,,,2025-05-01,2025-04-20
아산시,한미농장,닭,종계/산란계,42406,충청남도 아산시 음봉면 덕지리 26-4,,,2025-05-01,2025-04-20
아산시,한일농장,닭,육계,24480,충청남도 아산시 도고면 신통리 95-1,,,2025-05-01,2025-04-20
아산시,향원농장,닭,육계,50000,충청남도 아산시 신창면 남성리 675-1,,,2025-05-01,2025-04-20
아산시,현광1농장,닭,육계,20000,충청남도 아산시 초사동 261-1,,,2025-05-01,2025-04-20
아산시,현광2농장,닭,육계,45000,충청남도 아산시 장존동 산38-35,,,2025-05-01,2025-04-20
아산시,현대농장,닭,육계,30000,충청남도 아산시 음봉면 신정리 11-1,,,2025-05-01,2025-04-20
아산시,현민농장,닭,육계,55000,충청남도 아산시 신창면 가덕리 44-1,,,2025-05-01,2025-04-20
아산시,협진농장,닭,육계,40000,충청남도 아산시 음봉면 원남리 180-3,,,2025-05-01,2025-04-20
아산시,호반 토종닭,닭,육계,50,충청남도 아산시 염치읍 동정리 33,,,2025-05-01,2025-04-20
아산시,희망농장,닭,종계/산란계,30000,충청남도 아산시 둔포면 산전리 364-1,,,2025-05-01,2025-04-20
아산시,감나무집,닭,육계,50,충청남도 아산시 탕정면 용두리 15-1,,,2025-05-01,2025-12-26
아산시,거해농장,닭,육계,75000,충청남도 아산시 신창면 가덕리 1015,,,2025-05-01,2025-12-26
아산시,건강마을,닭,종계/산란계,9000,충청남도 아산시 둔포면 봉재리 159-14,,,2025-05-01,2025-12-26
아산시,고령농장,닭,육계,14338,충청남도 아산시 영인면 신봉리 95-12,,,2025-05-01,2025-12-26
아산시,곡부농장,닭,종계/산란계,8000,충청남도 아산시 둔포면 신양리 217,,,2025-05-01,2025-12-26
아산시,그린농장,닭,종계/산란계,4000,충청남도 아산시 음봉면 산정리 204-2 외 1필지(204-3),,,2025-05-01,2025-12-26
아산시,근해농장,닭,종계/산란계,9500,충청남도 아산시 음봉면 원남리 313-1,,,2025-05-01,2025-12-26
아산시,금강농장,닭,종계/산란계,21400,충청남도 아산시 음봉면 원남리 15-5,,,2025-05-01,2025-12-26
아산시,금미농장,닭,육계,14903,충청남도 아산시 둔포면 산전리 244-1 외 1필지(244-5),,,2025-05-01,2025-12-26
아산시,금반농원,오리,,8000,충청남도 아산시 신창면 행목리 429-3,,,2025-05-01,2025-12-26
아산시,금산농장,닭,종계/산란계,34000,충청남도 아산시 영인면 신운리 128,,,2025-05-01,2025-12-26
