시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜,coord_precision
음성군,육일농장,닭,종계/산란계,50.0,충청북도 음성군 삼성면 양덕리 421번지,37.0187733023284,127.486123172486,2022-02-07,exact
음성군,음성농장,닭,육계,12500.0,충청북도 음성군 원남면 하당리 462번지,36.903763372237,127.675870605205,2022-02-07,exact
음성군,음성농촌관광농원,닭,육계,6.0,충청북도 음성군 원남면 구안리 168번지,36.8818800414638,127.707837169569,2022-02-07,exact
음성군,장군농장,오리,,10000.0,충청북도 음성군 대소면 수태리 153번지 154,36.9359502084741,127.514694053899,2022-02-07,exact
음성군,정우농장 2,닭,육계,110000.0,충청북도 음성군 삼성면 대야리 428번지,37.0396522460842,127.495143323103,2022-02-07,exact
음성군,준희농장,닭,육계,80000.0,충청북도 음성군 맹동면 봉현리 695번지,36.9345545570243,127.529466414048,2022-02-07,exact
음성군,중부농장,오리,,10000.0,충청북도 음성군 맹동면 마산리 530번지 2호,36.9366494962001,127.554983736816,2022-02-07,exact
음성군,진영농장,닭,종계/산란계,48600.0,충청북도 음성군 삼성면 상곡리 7번지 1호,37.0114524779667,127.45613311285,2022-02-07,exact
음성군,파랑새농장,닭,육계,40000.0,충청북도 음성군 대소면 미곡리 122번지 외 1필지,36.9400025697513,127.480849673073,2022-02-07,exact
음성군,한빛타조농장,타조,,53.0,충청북도 음성군 맹동면 봉현리 300번지 외 1필지(250번지),36.9400365101496,127.540359882113,2022-02-07,exact
음성군,한서농장,닭,육계,40000.0,충청북도 음성군 금왕읍 호산리 11번지,37.0416739653109,127.562771125582,2022-02-07,exact
음성군,한울,닭,육계,105000.0,충청북도 음성군 대소면 부윤리 260번지,36.9509220584479,127.534012602637,2022-02-07,exact
음성군,현일농장,오리,,4000.0,충청북도 음성군 대소면 부윤리 330번지,36.9480653547297,127.530739047176,2022-02-07,exact
음성군,형제농장,닭,육계,100000.0,충청북도 음성군 소이면 비산리 963번지 외 4필지,36.9415090450149,127.727711408992,2022-02-07,exact
음성군,홍백농장,닭,육계,53000.0,충청북도 음성군 금왕읍 사창리 423번지 1호,37.0093100951407,127.529399781033,2022-02-07,exact
음성군,황금농장,닭,육계,55000.0,충청북도 음성군 소이면 중동리 371번지 2호,36.8924657690638,127.777687218808,2022-02-07,exact
음성군,가인농장,닭,육계,100000.0,충청북도 음성군 맹동면 봉현리 681번지,36.9335076319171,127.527005478727,2024-08-24,exact
음성군,감곡벤처농장,오리,육용오리,13487.0,충청북도 음성군 감곡면 문촌리 983번지 4호,37.1208514757822,127.700226789905,2024-08-24,exact
음성군,갑산농장,닭,육계,70000.0,충청북도 음성군 소이면 갑산리 264번지 1호 외 1필지(266번지),36.886576973056,127.751827098244,2024-08-24,exact
음성군,계구쟁이농장,닭,종계/산란계,108864.0,충청북도 음성군 삼성면 능산리 122번지  122-1,37.0426564972162,127.536191611819,2024-08-24,exact
음성군,계구쟁이농장,닭,종계/산란계,108864.0,"충청북도 음성군 삼성면 능산리 122번지 ,122-1",37.0426564972162,127.536191611819,2024-08-24,exact
음성군,국현농장,오리,,18000.0,충청북도 음성군 맹동면 봉현리 476번지,36.9432543613381,127.533201778213,2024-08-24,exact
음성군,남율농장,닭,육계,72767.0,충청북도 음성군 소이면 문등리 196번지,36.9078530716869,127.787206465525,2024-08-24,exact
음성군,농업회사법인 (주) 조하 삼성지점,닭,종계/산란계,,충청북도 음성군 삼성면 능산리 360번지 1호,37.0362467833446,127.532185338097,2024-08-24,exact
음성군,농업회사법인(주)동일농장 생극지점,닭,종계/산란계,21000.0,충청북도 음성군 생극면 팔성리 520번지 1호,37.043637506303,127.583872485458,2024-08-24,exact
음성군,농업회사법인(주)조하,닭,종계/산란계,86175.0,충청북도 음성군 맹동면 봉현리 363번지 외 7필지,36.942633041507,127.535410525904,2024-08-24,exact
음성군,농업회사법인주식회사 동일농장,닭,종계/산란계,44000.0,충청북도 음성군 대소면 삼호리 454번지,36.9506410086947,127.461454544779,2024-08-24,exact
음성군,농업회사법인주식회사알부자,닭,종계/산란계,32000.0,"충청북도 음성군 원남면 하노리 208번지 외2필지(208-1,213)",36.9179541863558,127.695600569087,2024-08-24,exact
음성군,누리농장,닭,종계/산란계,15000.0,충청북도 음성군 소이면 중동리 1384번지,36.9067734978763,127.779787260886,2024-08-24,exact
음성군,늘푸른농장,오리,,7800.0,충청북도 음성군 맹동면 마산리 465번지,36.9339262174111,127.541304061887,2024-08-24,exact
음성군,대금 유정란 농장,닭,육계,50000.0,충청북도 음성군 금왕읍 본대리 29번지,36.9845088550495,127.526186235014,2024-08-24,exact
음성군,대박농장,오리,,9500.0,충청북도 음성군 맹동면 용촌리 69번지,36.9310059795863,127.536640405372,2024-08-24,exact
음성군,대성농장,닭,육계,119000.0,충청북도 음성군 맹동면 봉현리 258번지 외 4필지,36.9404183088661,127.547499469501,2024-08-24,exact
음성군,대왕농장1,오리,육용오리,11840.0,충청북도 음성군 맹동면 봉현리 300번지 2호,36.9400365101496,127.540359882113,2024-08-24,exact
음성군,류봉농장2,닭,육계,92000.0,충청북도 음성군 대소면 미곡리 산 2번지 2호,36.9558600337329,127.510916780429,2024-08-24,exact
음성군,매봉농장,오리,,24390.0,충청북도 음성군 금왕읍 본대리 산 7번지 4호,36.9863427706465,127.536083773134,2024-08-24,exact
음성군,무궁화농장,닭,육계,140000.0,충청북도 음성군 맹동면 봉현리 678번지,36.9353931521651,127.526861762121,2024-08-24,exact
음성군,미곡농장,닭,육계,56000.0,"충청북도 음성군 대소면 미곡리 402번지 , 401-1, 401-2",36.9394562190605,127.47002858252,2024-08-24,exact
음성군,민들레농장,닭,육계,148000.0,충청북도 음성군 소이면 중동리 122번지 외 4필지,36.9052029480051,127.781566744962,2024-08-24,exact
음성군,부윤농장,오리,,9500.0,충청북도 음성군 대소면 부윤리 산 73번지,36.9436440084619,127.51862789133,2024-08-24,exact
