시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜,감염날짜,coord_precision
아산시,협진농장,닭,육계,40000,충청남도 아산시 음봉면 원남리 180-3,36.8703019992331,127.036000732719,2025-05-01,2025-04-20,approx_address
아산시,호반 토종닭,닭,육계,50,충청남도 아산시 염치읍 동정리 33,36.8236891854465,127.006817216157,2025-05-01,2025-04-20,approx_address
아산시,희망농장,닭,종계/산란계,30000,충청남도 아산시 둔포면 산전리 364-1,36.896026828377,127.046054689348,2025-05-01,2025-04-20,approx_address
천안시,가나안농장,닭,종계/산란계,20000,충청남도 천안시 동남구 풍세면 보성리 ***번지,36.7294242158523,127.111747862164,2025-11-28,2025-03-26,exact
천안시,가덕농장,닭,육계,60192,충청남도 천안시 동남구 풍세면 가송리 ***번지 *호,36.729029590028,127.143607901246,2025-11-28,2025-03-26,exact
천안시,가송농장,닭,육계,33000,충청남도 천안시 동남구 풍세면 가송리 ***번지,36.729029590028,127.143607901246,2025-11-28,2025-03-26,exact
천안시,가송농장,닭,육계,39246,충청남도 천안시 동남구 풍세면 풍서리 ***번지 *호,36.7186707196143,127.123968877927,2025-11-28,2025-03-26,exact
천안시,가온팜 농업회사법인(주),닭,종계/산란계,145600,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호,36.9617881669558,127.155434390192,2025-11-28,2025-12-10,exact
천안시,갈뫼정,닭,육계,1000,충청남도 천안시 동남구 목천읍 교천리 ***번지 외*필지(***-*),36.7845596283442,127.20115564017,2025-11-28,2025-12-10,approx_address_single_parcel
천안시,개운농장,닭,종계/산란계,4800,충청남도 천안시 동남구 북면 명덕리 ***번지 *호 ***번지,36.8205811887473,127.259487555278,2025-11-28,2025-12-10,approx_address_single_parcel
천안시,거기농장,닭,육계,2000,충청남도 천안시 동남구 성남면 석곡리 ***번지 *호,36.740706657722,127.223926906226,2025-11-28,2025-04-04,exact
