사업장명칭,등록축종,사업장소재지(지번),사업장소재지(도로명),사육두수,동수,면적,데이터기준일자
지호농장,육계,충청북도 음성군 맹동면 봉현리 719번지  ,충청북도 음성군 맹동면 봉현로 94-21,190000,10,8740,2023-04-21
대성농장 2농장,육계,충청북도 음성군 맹동면 마산리 290번지  ,충청북도 음성군 맹동면 대동로 264-78,70000,4,3344,2023-04-21
생금,육계,충청북도 음성군 금왕읍 본대리 101번지 7호 외1필지 ,충청북도 음성군 금왕읍 신내로 550-90,100000,8,5088,2023-04-21
신우농장,오리,충청북도 음성군 맹동면 봉현리 693번지  ,충청북도 음성군 맹동면 봉현로 70-9,10000,5,3680,2023-04-21
매봉농장,오리,충청북도 음성군 금왕읍 본대리 산 7번지 4호  ,충청북도 음성군 금왕읍 신내로 550-78,24390,7,6000,2023-04-21
솔그린농장,육계,충청북도 음성군 감곡면 문촌리 448번지 3호 외 4필지 ,충청북도 음성군 감곡면 가곡로 486,60000,1,3069,2023-04-21
용원농장,육계,충청북도 음성군 맹동면 봉현리 353번지 외 3필지 ,충청북도 음성군 맹동면 봉현로 95-48,70000,14,6100,2023-04-21
정일농장 2농장,오리,충청북도 음성군 맹동면 봉현리 579번지 2호 외 1필지 ,,12000,11,4976,2023-04-21
삼성농장,육계,충청북도 음성군 삼성면 덕정리 1045번지 외 2필지 ,,90000,2,3775.3,2023-04-21
정우농장,육계,충청북도 음성군 음성읍 초천리 714번지 2호 외 1필지 ,,60000,3,2711,2023-04-21
푸른농장,육계,충청북도 음성군 대소면 수태리 126번지 외 3필지 ,충청북도 음성군 대소면 초금로 81,100000,16,5200,2023-04-21
한국오리영농조합법인 제2농장,오리,충청북도 음성군 삼성면 용대리 295번지  ,충청북도 음성군 삼성면 덕호로415번길 57,9660,5,2376,2023-04-21
해피그린농장,오리,충청북도 음성군 대소면 성본리 596번지 2호 외 3필지 ,충청북도 음성군 대소면 신내로 213-28,20000,16,5029,2023-04-21
늘푸른농장,오리,충청북도 음성군 맹동면 마산리 465번지  ,,7800,4,1926,2023-04-21
누리농장,종계/산란계,충청북도 음성군 소이면 중동리 1384번지  ,충청북도 음성군 소이면 한불로 799-2,15000,8,2560,2023-04-21
자연농장,종계/산란계,충청북도 음성군 생극면 임곡리 100번지 4호 외 1필지 ,충청북도 음성군 생극면 임곡길 224,14697,3,1633,2023-04-21
농업회사법인 주식회사 에버그린(금왕지점),메추리,충청북도 음성군 금왕읍 신평리 307번지 외 12필지 ,충청북도 음성군 금왕읍 청평길 266-38,1084800,8,5933,2023-04-21
